customerNumber,customerName,productCode,productName,productLine,quantityOrdered,quantityInStock,warehouseCode,warehouseName,orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber,contactLastName,contactFirstName,addressLine1,city,state,postalCode,country
121,Baane Mini Imports,S18_2432,1926 Ford Fire Engine,Trucks and Buses,22,2018,d,South,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
121,Baane Mini Imports,S18_2949,1913 Ford Model T Speedster,Vintage Cars,27,4189,c,West,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
121,Baane Mini Imports,S18_2957,1934 Ford V8 Coupe,Vintage Cars,35,5649,c,West,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
121,Baane Mini Imports,S18_3136,18th Century Vintage Horse Carriage,Vintage Cars,25,5992,c,West,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
121,Baane Mini Imports,S18_3320,1917 Maxwell Touring Car,Vintage Cars,46,7913,c,West,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
121,Baane Mini Imports,S18_4600,1940s Ford truck,Trucks and Buses,36,3128,d,South,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
121,Baane Mini Imports,S18_4668,1939 Cadillac Limousine,Vintage Cars,41,6645,c,West,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
121,Baane Mini Imports,S24_2300,1962 Volkswagen Microbus,Trucks and Buses,36,2327,d,South,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
121,Baane Mini Imports,S24_4258,1936 Chrysler Airflow,Vintage Cars,25,4710,c,West,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
121,Baane Mini Imports,S32_1268,1980’s GM Manhattan Express,Trucks and Buses,31,5099,d,South,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
121,Baane Mini Imports,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,45,814,d,South,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
121,Baane Mini Imports,S700_2824,1982 Camaro Z28,Classic Cars,42,6934,b,East,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
141,Euro+ Shopping Channel,S12_3148,1969 Corvair Monza,Classic Cars,34,6906,b,East,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141,Freyre,Diego ,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain
141,Euro+ Shopping Channel,S12_4473,1957 Chevy Pickup,Trucks and Buses,41,6125,d,South,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141,Freyre,Diego ,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain
141,Euro+ Shopping Channel,S18_2238,1998 Chrysler Plymouth Prowler,Classic Cars,24,4724,b,East,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141,Freyre,Diego ,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain
141,Euro+ Shopping Channel,S18_2319,1964 Mercedes Tour Bus,Trucks and Buses,29,8258,d,South,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141,Freyre,Diego ,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain
141,Euro+ Shopping Channel,S18_3232,1992 Ferrari 360 Spider red,Classic Cars,23,8347,b,East,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141,Freyre,Diego ,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain
141,Euro+ Shopping Channel,S18_4027,1970 Triumph Spitfire,Classic Cars,38,5545,b,East,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141,Freyre,Diego ,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain
141,Euro+ Shopping Channel,S24_1444,1970 Dodge Coronet,Classic Cars,35,4074,b,East,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141,Freyre,Diego ,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain
141,Euro+ Shopping Channel,S24_2840,1958 Chevy Corvette Limited Edition,Classic Cars,44,2542,b,East,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141,Freyre,Diego ,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain
141,Euro+ Shopping Channel,S24_4048,1992 Porsche Cayenne Turbo Silver,Classic Cars,26,6582,b,East,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141,Freyre,Diego ,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain
141,Euro+ Shopping Channel,S32_2509,1954 Greyhound Scenicruiser,Trucks and Buses,35,2874,d,South,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141,Freyre,Diego ,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain
141,Euro+ Shopping Channel,S32_3207,1950's Chicago Surface Lines Streetcar,Trains,49,8601,d,South,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141,Freyre,Diego ,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain
141,Euro+ Shopping Channel,S50_1392,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,33,1016,d,South,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141,Freyre,Diego ,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain
141,Euro+ Shopping Channel,S50_1514,1962 City of Detroit Streetcar,Trains,32,1645,d,South,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141,Freyre,Diego ,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain
145,Danish Wholesale Imports,S10_4757,1972 Alfa Romeo GTA,Classic Cars,50,3252,b,East,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
145,Danish Wholesale Imports,S12_1108,2001 Ferrari Enzo,Classic Cars,41,3619,b,East,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
145,Danish Wholesale Imports,S12_3891,1969 Ford Falcon,Classic Cars,29,1049,b,East,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
145,Danish Wholesale Imports,S18_3140,1903 Ford Model A,Vintage Cars,22,3913,c,West,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
145,Danish Wholesale Imports,S18_3259,Collectable Wooden Train,Trains,38,6450,d,South,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
145,Danish Wholesale Imports,S18_4522,1904 Buick Runabout,Vintage Cars,41,8290,c,West,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
145,Danish Wholesale Imports,S24_2011,18th century schooner,Ships,43,1898,d,South,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
145,Danish Wholesale Imports,S24_3151,1912 Ford Model T Delivery Wagon,Vintage Cars,44,9173,c,West,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
145,Danish Wholesale Imports,S24_3816,1940 Ford Delivery Sedan,Vintage Cars,50,6621,c,West,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
145,Danish Wholesale Imports,S700_1138,The Schooner Bluenose,Ships,41,1897,d,South,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
145,Danish Wholesale Imports,S700_1938,The Mayflower,Ships,29,737,d,South,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
145,Danish Wholesale Imports,S700_2610,The USS Constitution Ship,Ships,31,7083,d,South,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
145,Danish Wholesale Imports,S700_3505,The Titanic,Ships,39,1956,d,South,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
145,Danish Wholesale Imports,S700_3962,The Queen Mary,Ships,22,5088,d,South,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
145,Danish Wholesale Imports,S72_3212,Pont Yacht,Ships,25,414,d,South,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,Petersen,Jytte ,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
278,Rovelli Gifts,S18_1662,1980s Black Hawk Helicopter,Planes,36,5330,a,North,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S18_2581,P-51-D Mustang,Planes,34,992,a,North,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S18_3029,1999 Yamaha Speed Boat,Ships,41,4259,d,South,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S18_3856,1941 Chevrolet Special Deluxe Cabriolet,Vintage Cars,41,2378,c,West,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S24_1785,1928 British Royal Navy Airplane,Planes,28,3627,a,North,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S24_2841,1900s Vintage Bi-Plane,Planes,49,5942,a,North,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S24_3420,1937 Horch 930V Limousine,Vintage Cars,31,2902,c,West,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S24_3949,Corsair F4U ( Bird Cage),Planes,50,6812,a,North,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S24_4278,1900s Vintage Tri-Plane,Planes,26,2756,a,North,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S32_4289,1928 Ford Phaeton Deluxe,Vintage Cars,33,136,c,West,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S50_1341,1930 Buick Marquette Phaeton,Vintage Cars,39,7062,c,West,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S700_1691,American Airlines: B767-300,Planes,31,5841,a,North,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S700_2047,HMS Bounty,Ships,30,3501,d,South,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S700_2466,America West Airlines B757-200,Planes,34,9653,a,North,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S700_2834,ATA: B757-300,Planes,32,7106,a,North,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S700_3167,F/A 18 Hornet 1/72,Planes,44,551,a,North,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S700_4002,American Airlines: MD-11S,Planes,48,8820,a,North,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
278,Rovelli Gifts,S72_1253,Boeing X-32A JSF,Planes,48,4857,a,North,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278,Rovelli,Giovanni ,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
131,Land of Toys Inc.,S10_1678,1969 Harley Davidson Ultimate Chopper,Motorcycles,30,7933,a,North,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Lee,Kwai,897 Long Airport Avenue,NYC,NY,10022,USA
131,Land of Toys Inc.,S10_2016,1996 Moto Guzzi 1100i,Motorcycles,39,6625,a,North,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Lee,Kwai,897 Long Airport Avenue,NYC,NY,10022,USA
131,Land of Toys Inc.,S10_4698,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,27,5582,a,North,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Lee,Kwai,897 Long Airport Avenue,NYC,NY,10022,USA
131,Land of Toys Inc.,S12_2823,2002 Suzuki XREO,Motorcycles,21,9997,a,North,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Lee,Kwai,897 Long Airport Avenue,NYC,NY,10022,USA
131,Land of Toys Inc.,S18_2625,1936 Harley Davidson El Knucklehead,Motorcycles,29,4357,a,North,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Lee,Kwai,897 Long Airport Avenue,NYC,NY,10022,USA
131,Land of Toys Inc.,S24_1578,1997 BMW R 1100 S,Motorcycles,25,7003,a,North,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Lee,Kwai,897 Long Airport Avenue,NYC,NY,10022,USA
131,Land of Toys Inc.,S24_2000,1960 BSA Gold Star DBD34,Motorcycles,38,15,a,North,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Lee,Kwai,897 Long Airport Avenue,NYC,NY,10022,USA
131,Land of Toys Inc.,S32_1374,1997 BMW F650 ST,Motorcycles,20,178,a,North,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Lee,Kwai,897 Long Airport Avenue,NYC,NY,10022,USA
385,Cruz & Sons Co.,S12_1099,1968 Ford Mustang,Classic Cars,33,68,b,East,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S12_3380,1968 Dodge Charger,Classic Cars,45,9123,b,East,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S12_3990,1970 Plymouth Hemi Cuda,Classic Cars,39,5663,b,East,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S12_4675,1969 Dodge Charger,Classic Cars,36,7323,b,East,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S18_1889,1948 Porsche 356-A Roadster,Classic Cars,38,8826,b,East,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S18_3278,1969 Dodge Super Bee,Classic Cars,26,1917,b,East,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S18_3482,1976 Ford Gran Torino,Classic Cars,29,9127,b,East,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S18_3782,1957 Vespa GS150,Motorcycles,43,7689,a,North,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S18_4721,1957 Corvette Convertible,Classic Cars,44,1249,b,East,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S24_2360,1982 Ducati 900 Monster,Motorcycles,35,6840,a,North,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S24_3371,1971 Alpine Renault 1600s,Classic Cars,30,7995,b,East,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S24_3856,1956 Porsche 356A Coupe,Classic Cars,40,6600,b,East,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S24_4620,1961 Chevrolet Impala,Classic Cars,31,7869,b,East,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S32_2206,1982 Ducati 996 R,Motorcycles,27,9241,a,North,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S32_4485,1974 Ducati 350 Mk3 Desmo,Motorcycles,31,3341,a,North,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
385,Cruz & Sons Co.,S50_4713,2002 Yamaha YZR M1,Motorcycles,34,600,a,North,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385,Cruz,Arnold,15 McCallum Street,Makati City,NULL,1227 MM,Philippines
486,Motor Mint Distributors Inc.,S18_1129,1993 Mazda RX-7,Classic Cars,26,3975,b,East,10109,2003-03-10,2003-03-19,2003-03-11,Shipped,Customer requested that FedEx Ground is used for this shipping,486,Salazar,Rosa,11328 Douglas Av.,Philadelphia,PA,71270,USA
486,Motor Mint Distributors Inc.,S18_1984,1995 Honda Civic,Classic Cars,38,9772,b,East,10109,2003-03-10,2003-03-19,2003-03-11,Shipped,Customer requested that FedEx Ground is used for this shipping,486,Salazar,Rosa,11328 Douglas Av.,Philadelphia,PA,71270,USA
486,Motor Mint Distributors Inc.,S18_2870,1999 Indy 500 Monte Carlo SS,Classic Cars,26,8164,b,East,10109,2003-03-10,2003-03-19,2003-03-11,Shipped,Customer requested that FedEx Ground is used for this shipping,486,Salazar,Rosa,11328 Douglas Av.,Philadelphia,PA,71270,USA
486,Motor Mint Distributors Inc.,S18_3232,1992 Ferrari 360 Spider red,Classic Cars,46,8347,b,East,10109,2003-03-10,2003-03-19,2003-03-11,Shipped,Customer requested that FedEx Ground is used for this shipping,486,Salazar,Rosa,11328 Douglas Av.,Philadelphia,PA,71270,USA
486,Motor Mint Distributors Inc.,S18_3685,1948 Porsche Type 356 Roadster,Classic Cars,47,8990,b,East,10109,2003-03-10,2003-03-19,2003-03-11,Shipped,Customer requested that FedEx Ground is used for this shipping,486,Salazar,Rosa,11328 Douglas Av.,Philadelphia,PA,71270,USA
486,Motor Mint Distributors Inc.,S24_2972,1982 Lamborghini Diablo,Classic Cars,29,7723,b,East,10109,2003-03-10,2003-03-19,2003-03-11,Shipped,Customer requested that FedEx Ground is used for this shipping,486,Salazar,Rosa,11328 Douglas Av.,Philadelphia,PA,71270,USA
187,"AV Stores, Co.",S18_1589,1965 Aston Martin DB5,Classic Cars,37,9042,b,East,10110,2003-03-18,2003-03-24,2003-03-20,Shipped,NULL,187,Ashworth,Rachel,Fauntleroy Circus,Manchester,NULL,EC2 5NT,UK
187,"AV Stores, Co.",S18_1749,1917 Grand Touring Sedan,Vintage Cars,42,2724,c,West,10110,2003-03-18,2003-03-24,2003-03-20,Shipped,NULL,187,Ashworth,Rachel,Fauntleroy Circus,Manchester,NULL,EC2 5NT,UK
187,"AV Stores, Co.",S18_2248,1911 Ford Town Car,Vintage Cars,32,540,c,West,10110,2003-03-18,2003-03-24,2003-03-20,Shipped,NULL,187,Ashworth,Rachel,Fauntleroy Circus,Manchester,NULL,EC2 5NT,UK
187,"AV Stores, Co.",S18_2325,1932 Model A Ford J-Coupe,Vintage Cars,33,9354,c,West,10110,2003-03-18,2003-03-24,2003-03-20,Shipped,NULL,187,Ashworth,Rachel,Fauntleroy Circus,Manchester,NULL,EC2 5NT,UK
187,"AV Stores, Co.",S18_2795,1928 Mercedes-Benz SSK,Vintage Cars,31,548,c,West,10110,2003-03-18,2003-03-24,2003-03-20,Shipped,NULL,187,Ashworth,Rachel,Fauntleroy Circus,Manchester,NULL,EC2 5NT,UK
187,"AV Stores, Co.",S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,Vintage Cars,28,6553,c,West,10110,2003-03-18,2003-03-24,2003-03-20,Shipped,NULL,187,Ashworth,Rachel,Fauntleroy Circus,Manchester,NULL,EC2 5NT,UK
